volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude
"Acatenango","10655","Confirmed Eruption","Pico Central-Yepocapa saddle","1","1972","11","12","Historical Observations","1972","12","16","14.501","-90.876"
"Acatenango","10654","Confirmed Eruption","Pico Central","2","1926","8","0","Historical Observations","1927","5","19","14.501","-90.876"
"Acatenango","10653","Confirmed Eruption","North slope of Pico Central","3","1924","12","18","Historical Observations","1925","6","7","14.501","-90.876"
"Adatarayama","17913","Confirmed Eruption","Numanotaira","1","1996","9","1","Historical Observations","1996","9","1","37.647","140.281"
"Adatarayama","17912","Confirmed Eruption","Numanotaira","2","1900","7","17","Historical Observations","1900","7","17","37.647","140.281"
"Adatarayama","17911","Confirmed Eruption","Numanotaira","2","1899","8","24","Historical Observations","1899","11","12","37.647","140.281"
"Adatarayama","17910","Uncertain Eruption","Numanotaira","1","1813","1","10","NA","NA","NA","NA","37.647","140.281"
"Agrigan","18502","Confirmed Eruption","NA","4","1917","4","9","Historical Observations","NA","NA","NA","18.77","145.67"
"Agua","10734","Discredited Eruption","NA","NA","1541","9","11","NA","NA","NA","NA","14.465","-90.743"
"Agua de Pau","13033","Confirmed Eruption","Lagoa do Fogo caldera","2","1564","2","10","Historical Observations","1564","2","12","37.77","-25.47"
"Agua de Pau","13032","Confirmed Eruption","Caldera, NW flank (Cerro Queimado)","5","1563","6","28","Historical Observations","1563","7","26","37.77","-25.47"
"Agung","22241","Confirmed Eruption","Summit crater","3","2017","11","21","Historical Observations","2019","6","13","-8.343","115.508"
"Agung","16210","Confirmed Eruption","NA","5","1963","2","18","Historical Observations","1964","1","27","-8.343","115.508"
"Agung","16208","Uncertain Eruption","NA","2","1821","3","16","NA","NA","NA","NA","-8.343","115.508"
"Ahyi","20936","Confirmed Eruption","NA","0","2014","4","24","Hydrophonic","2014","5","17","20.42","145.03"
"Ahyi","18474","Confirmed Eruption","20.34°N, 145.02°E","0","2001","4","24","Hydrophonic","2001","4","25","20.42","145.03"
"Ahyi","18470","Uncertain Eruption","NA","0","1979","11","15","NA","NA","NA","NA","20.42","145.03"
"Aira","22203","Confirmed Eruption","Minamidake summit crater","1","2017","3","25","Historical Observations","2020","4","17","31.593","130.657"
"Aira","17088","Confirmed Eruption","Minami-dake and east flank (Showa crater)","3","1955","10","13","Historical Observations","2016","8","22","31.593","130.657"
"Aira","17087","Uncertain Eruption","Minami-dake","1","1954","11","16","NA","1954","12","16","31.593","130.657"
"Aira","17086","Confirmed Eruption","Minami-dake","1","1950","6","29","Historical Observations","1950","9","9","31.593","130.657"
"Aira","17085","Confirmed Eruption","East flank of Minami-dake (750 m)","1","1948","7","27","Historical Observations","1948","7","27","31.593","130.657"
"Aira","17084","Confirmed Eruption","East flank of Minami-dake (750 m)","2","1946","1","0","Historical Observations","1946","11","0","31.593","130.657"
"Aira","17083","Confirmed Eruption","East flank of Minami-dake (750 m)","1","1942","7","16","Historical Observations","1942","7","16","31.593","130.657"
"Aira","17082","Confirmed Eruption","East flank of Minami-dake (750 m)","2","1941","4","28","Historical Observations","1941","8","26","31.593","130.657"
"Aira","17081","Confirmed Eruption","Minami-dake and east flank (750 m)","2","1940","4","24","Historical Observations","1940","7","9","31.593","130.657"
"Aira","17080","Confirmed Eruption","East flank of Minami-dake (750 m)","2","1939","10","26","Historical Observations","1939","11","12","31.593","130.657"
"Aira","17079","Confirmed Eruption","Minami-dake","2","1938","2","25","Historical Observations","1938","3","31","31.593","130.657"
"Aira","17078","Confirmed Eruption","Minami-dake","1","1935","9","20","Historical Observations","1935","9","24","31.593","130.657"
"Aira","17077","Confirmed Eruption","West, east and SE flanks","4","1914","1","12","Historical Observations","1915","5","0","31.593","130.657"
"Aira","17072","Uncertain Eruption","Minami-dake","1","1899","9","24","NA","1899","9","25","31.593","130.657"
